Time,Displacement,Force,Work
28.2999,3.00,0.01,0.03
28.3499,1.00,0.01,0.01
28.3999,3.00,0.01,0.03
28.4499,1.00,0.01,0.01
28.4999,0.00,0.01,0.00
28.5499,2.00,0.01,0.02
28.5998,1.00,0.01,0.01
28.6498,0.00,0.01,0.00
28.6998,2.00,0.01,0.02
28.7498,1.00,0.01,0.01
28.7998,2.00,0.01,0.02
28.8498,1.00,0.01,0.01
28.8998,4.00,0.01,0.04
28.9498,3.00,0.01,0.03
28.9998,0.00,0.01,0.00
29.0498,1.00,0.01,0.01
29.0998,3.00,0.01,0.03
29.1498,1.00,0.01,0.01
29.1998,1.00,0.01,0.01
29.2498,1.00,0.01,0.01
29.2998,1.00,0.01,0.01
29.3498,2.00,0.01,0.02
29.3998,1.00,0.01,0.01
29.4498,0.00,0.01,0.00
29.4998,3.00,0.01,0.03
29.5498,5.00,0.01,0.05
29.5998,3.00,0.01,0.03
29.6498,1.00,0.01,0.01
29.6998,1.00,0.01,0.01
29.7498,1.00,0.01,0.01
29.7998,2.00,0.01,0.02
29.8498,0.00,0.01,0.00
29.8998,2.00,0.01,0.02
29.9498,0.00,0.01,0.00
29.9998,1.00,0.01,0.01
30.0498,1.00,0.01,0.01
30.0998,0.00,0.01,0.00
30.1498,2.00,0.01,0.02
30.1998,2.00,0.01,0.02
30.2498,1.00,0.01,0.01
30.2998,2.00,0.01,0.02
30.3498,1.00,0.01,0.01
30.3998,1.00,0.01,0.01
30.4498,1.00,0.01,0.01
30.4998,1.00,0.01,0.01
30.5498,0.00,0.01,0.00
30.5998,4.00,0.01,0.04
30.6498,2.00,0.01,0.02
30.6998,1.00,0.01,0.01
30.7498,1.00,0.01,0.01
30.7998,1.00,0.01,0.01
30.8498,0.00,0.01,0.00
30.8998,1.00,0.01,0.01
30.9498,2.00,0.01,0.02
30.9998,1.00,0.01,0.01
31.0498,2.00,0.01,0.02
31.0998,3.00,0.01,0.03
31.1498,1.00,0.01,0.01
31.1998,1.00,0.01,0.01
31.2498,2.00,0.01,0.02
31.2998,1.00,0.01,0.01
31.3498,1.00,0.01,0.01
31.3998,2.00,0.01,0.02
31.4498,3.00,0.01,0.03
31.4998,3.00,0.01,0.03
31.5498,1.00,0.01,0.01
31.5998,3.00,0.01,0.03
31.6498,3.00,0.01,0.03
31.6998,3.00,0.01,0.03
31.7498,1.00,0.01,0.01
31.7998,2.00,0.01,0.02
31.8498,0.00,0.01,0.00
31.8998,1.00,0.01,0.01
31.9498,1.00,0.01,0.01
31.9998,2.00,0.01,0.02
32.0498,3.00,0.01,0.03
32.0998,2.00,0.01,0.02
32.1498,3.00,0.01,0.03
32.1998,1.00,0.01,0.01
32.2498,3.00,0.01,0.03
32.2998,3.00,0.01,0.03
32.3498,1.00,0.01,0.01
32.3998,1.00,0.01,0.01
32.4498,0.00,0.01,0.00
32.4998,4.00,0.01,0.04
32.5498,2.00,0.01,0.02
32.5998,4.00,0.01,0.04
32.6498,4.00,0.01,0.04
32.6998,1.00,0.01,0.01
32.7498,4.00,0.01,0.04
32.7998,4.00,0.01,0.04
32.8498,2.00,0.01,0.02
32.8998,2.00,0.01,0.02
32.9498,3.00,0.01,0.03
32.9998,3.00,0.01,0.03
33.0498,2.00,0.01,0.02
33.0998,3.00,0.01,0.03
33.1498,2.00,0.01,0.02
33.1998,2.00,0.01,0.02
33.2498,1.00,0.01,0.01
33.2998,2.00,0.01,0.02
33.3498,1.00,0.01,0.01
33.3998,3.00,0.01,0.03
33.4498,3.00,0.01,0.03
33.4998,1.00,0.01,0.01
33.5498,2.00,0.01,0.02
33.5998,4.00,0.01,0.04
33.6498,3.00,0.01,0.03
33.6998,2.00,0.01,0.02
33.7498,3.00,0.01,0.03
33.7998,2.00,0.01,0.02
33.8498,3.00,0.01,0.03
33.8998,4.00,0.01,0.04
33.9498,3.00,0.01,0.03
33.9998,0.00,0.01,0.00
34.0498,1.00,0.01,0.01
34.0998,1.00,0.01,0.01
34.1498,1.00,0.01,0.01
34.1998,3.00,0.01,0.03
34.2498,3.00,0.01,0.03
34.2998,3.00,0.01,0.03
34.3498,2.00,0.01,0.02
34.3998,0.00,0.01,0.00
34.4498,2.00,0.01,0.02
34.4998,0.00,0.01,0.00
34.5498,0.00,0.01,0.00
34.5998,0.00,0.01,0.00
34.6498,1.00,0.01,0.01
34.6998,1.00,0.01,0.01
34.7498,1.00,0.01,0.01
34.7998,1.00,0.01,0.01
34.8498,1.00,0.01,0.01
34.8998,0.00,0.01,0.00
34.9498,0.00,0.01,0.00
34.9998,3.00,0.01,0.03
35.0498,2.00,0.01,0.02
35.0998,2.00,0.01,0.02
35.1497,2.00,0.01,0.02
35.1997,0.00,0.01,0.00
35.2497,0.00,0.01,0.00
35.2997,0.00,0.01,0.00
35.3497,1.00,0.01,0.01
35.3997,0.00,0.01,0.00
35.4497,1.00,0.01,0.01
35.4997,0.00,0.01,0.00
35.5497,1.00,0.01,0.01
35.5997,1.00,0.01,0.01
35.6497,1.00,0.01,0.01
35.6997,2.00,0.01,0.02
35.7497,0.00,0.01,0.00
35.7997,3.00,0.01,0.03
35.8497,2.00,0.01,0.02
