ave_filt_force,med_filt_force,ave_filt_mag,med_filt_mag,Class
-0.22,0.0,-693.8800000000001,-723.5,1
-0.22,0.0,-693.84,-723.5,1
-0.22000000000000003,0.0,-693.82,-723.5,1
-0.22000000000000003,0.0,-693.8100000000002,-723.5,1
-0.20000000000000004,0.0,-693.8500000000001,-723.5,1
-0.22000000000000003,0.0,-693.87,-723.5,1
-0.22,0.0,-693.81,-723.5,1
-0.22000000000000003,0.0,-693.79,-723.5,1
-0.18,0.0,-693.72,-723.5,1
-0.18,0.0,-693.7,-723.5,1
-0.19999999999999998,0.0,-693.6899999999999,-723.5,1
-0.24,0.0,-693.73,-723.5,1
-0.24000000000000002,0.0,-693.69,-723.5,1
-0.24,0.0,-693.6500000000001,-723.5,1
-0.24,0.0,-693.6100000000001,-723.5,1
-0.28,0.0,-693.5300000000002,-723.5,1
-0.30000000000000004,0.0,-708.36,-723.5,1
-0.30000000000000004,0.0,-708.33,-723.5,1
-0.3,0.0,-708.35,-723.5,1
-0.3,0.0,-708.37,-723.5,1
-0.3,0.0,-708.32,-723.25,1
-0.3,0.0,-708.3200000000002,-723.25,1
-0.28,0.0,-693.4100000000001,-723.0,1
-0.30000000000000004,0.0,-693.3800000000001,-723.0,1
-0.28,0.0,-693.3600000000001,-723.0,1
-0.28,0.0,-693.3700000000001,-723.0,1
-0.26,0.0,-693.31,-723.0,1
-0.26,0.0,-693.31,-723.0,1
-0.26,0.0,-693.2499999999999,-723.0,1
-0.28,0.0,-693.2099999999999,-723.0,1
-0.30000000000000004,0.0,-693.17,-723.0,1
-0.30000000000000004,0.0,-693.15,-723.0,1
-0.30000000000000004,0.0,-693.1500000000001,-723.0,1
-0.28,0.0,-693.0800000000002,-722.75,1
-0.30000000000000004,0.0,-693.0200000000001,-722.75,1
-0.30000000000000004,0.0,-692.99,-722.25,1
-0.28,0.0,-692.9200000000001,-722.0,1
-0.28,0.0,-692.9300000000001,-722.0,1
-0.28,0.0,-692.9000000000001,-722.0,1
-0.28,0.0,-692.83,-722.0,1
-0.28,0.0,-692.7900000000001,-722.0,1
-0.24,0.0,-692.73,-722.0,1
-0.24,0.0,-692.7199999999999,-722.0,1
-0.22,0.0,-692.71,-722.0,1
-0.24,0.0,-707.5700000000002,-722.0,1
-0.24000000000000002,0.0,-707.49,-722.0,1
-0.22,0.0,-707.4499999999998,-722.0,1
-0.21999999999999997,0.0,-707.4499999999999,-722.0,1
-0.23999999999999996,0.0,-707.44,-722.0,1
-0.26,0.0,-707.4300000000001,-722.0,1
-0.22000000000000003,0.0,-692.53,-722.0,1
