ave_filt_force,med_filt_force,ave_filt_mag,med_filt_mag,ave_filt_accel,med_filt_accel,ave_filt_gyro,med_filt_gyro,Class
-0.25999999999999995,0.0,-730.5600000000001,-731.0,-730.5600000000001,-731.0,-730.5600000000001,-731.0,1
-0.26,0.0,-730.59,-731.0,-730.59,-731.0,-730.59,-731.0,1
-0.26,0.0,-730.5899999999999,-731.0,-730.5899999999999,-731.0,-730.5899999999999,-731.0,1
-0.24000000000000002,0.0,-730.5999999999999,-731.0,-730.5999999999999,-731.0,-730.5999999999999,-731.0,1
-0.24000000000000002,0.0,-730.64,-731.0,-730.64,-731.0,-730.64,-731.0,1
-0.24000000000000002,0.0,-730.6,-731.0,-730.6,-731.0,-730.6,-731.0,1
-0.22,0.0,-730.69,-731.0,-730.69,-731.0,-730.69,-731.0,1
-0.2,0.0,-730.6899999999999,-731.0,-730.6899999999999,-731.0,-730.6899999999999,-731.0,1
-0.2,0.0,-730.71,-731.0,-730.71,-731.0,-730.71,-731.0,1
-0.2,0.0,-730.69,-731.0,-730.69,-731.0,-730.69,-731.0,1
-0.2,0.0,-730.6800000000001,-731.0,-730.6800000000001,-731.0,-730.6800000000001,-731.0,1
-0.2,0.0,-730.7,-731.0,-730.7,-731.0,-730.7,-731.0,1
-0.2,0.0,-730.6600000000001,-731.0,-730.6600000000001,-731.0,-730.6600000000001,-731.0,1
-0.2,0.0,-730.69,-731.0,-730.69,-731.0,-730.69,-731.0,1
-0.2,0.0,-730.6500000000001,-731.0,-730.6500000000001,-731.0,-730.6500000000001,-731.0,1
-0.19999999999999998,0.0,-730.6800000000001,-731.0,-730.6800000000001,-731.0,-730.6800000000001,-731.0,1
-0.19999999999999998,0.0,-730.6800000000001,-731.0,-730.6800000000001,-731.0,-730.6800000000001,-731.0,1
-0.22000000000000003,0.0,-730.6500000000001,-731.0,-730.6500000000001,-731.0,-730.6500000000001,-731.0,1
-0.2,0.0,-730.6100000000001,-730.75,-730.6100000000001,-730.75,-730.6100000000001,-730.75,1
-0.2,0.0,-730.64,-730.75,-730.64,-730.75,-730.64,-730.75,1
-0.18,0.0,-730.68,-731.0,-730.68,-731.0,-730.68,-731.0,1
-0.19999999999999998,0.0,-730.6500000000001,-730.75,-730.6500000000001,-730.75,-730.6500000000001,-730.75,1
-0.19999999999999998,0.0,-730.6100000000001,-730.5,-730.6100000000001,-730.5,-730.6100000000001,-730.5,1
-0.2,0.0,-730.57,-730.5,-730.57,-730.5,-730.57,-730.5,1
-0.18,0.0,-730.5400000000001,-730.5,-730.5400000000001,-730.5,-730.5400000000001,-730.5,1
-0.16,0.0,-730.5300000000001,-730.5,-730.5300000000001,-730.5,-730.5300000000001,-730.5,1
-0.16,0.0,-730.5,-730.5,-730.5,-730.5,-730.5,-730.5,1
-0.15999999999999998,0.0,-730.48,-730.5,-730.48,-730.5,-730.48,-730.5,1
-0.11999999999999997,0.0,-730.49,-730.5,-730.49,-730.5,-730.49,-730.5,1
-0.11999999999999997,0.0,-730.53,-730.5,-730.53,-730.5,-730.53,-730.5,1
-0.12,0.0,-730.58,-730.5,-730.58,-730.5,-730.58,-730.5,1
-0.13999999999999999,0.0,-730.58,-730.5,-730.58,-730.5,-730.58,-730.5,1
-0.13999999999999999,0.0,-730.58,-730.5,-730.58,-730.5,-730.58,-730.5,1
-0.16,0.0,-730.57,-730.5,-730.57,-730.5,-730.57,-730.5,1
-0.14,0.0,-730.5500000000001,-730.5,-730.5500000000001,-730.5,-730.5500000000001,-730.5,1
-0.16,0.0,-730.57,-730.5,-730.57,-730.5,-730.57,-730.5,1
-0.16,0.0,-730.57,-730.5,-730.57,-730.5,-730.57,-730.5,1
-0.16,0.0,-730.57,-730.5,-730.57,-730.5,-730.57,-730.5,1
-0.18,0.0,-730.4999999999999,-730.5,-730.4999999999999,-730.5,-730.4999999999999,-730.5,1
-0.18,0.0,-730.51,-730.5,-730.51,-730.5,-730.51,-730.5,1
-0.16,0.0,-730.5300000000001,-730.5,-730.5300000000001,-730.5,-730.5300000000001,-730.5,1
-0.16,0.0,-730.5,-730.5,-730.5,-730.5,-730.5,-730.5,1
-0.16,0.0,-730.45,-730.5,-730.45,-730.5,-730.45,-730.5,1
-0.16,0.0,-730.4100000000001,-730.5,-730.4100000000001,-730.5,-730.4100000000001,-730.5,1
-0.16,0.0,-730.4000000000001,-730.25,-730.4000000000001,-730.25,-730.4000000000001,-730.25,1
-0.18,0.0,-730.4100000000001,-730.25,-730.4100000000001,-730.25,-730.4100000000001,-730.25,1
